Pollster,Grade,Predictive Plus-Minus,Mean-reverted bias,Number of polls,cat
The Washington Post,A+@@1,-1.088893229,D+0.90@@.9,98,D+
Marquette University Law School,A/B@@4,-0.997216552,D+0.32@@.32,17,D+
Research & Polling Inc.,A+@@1,-0.975258217,R+0.55@@-.55,44,R+
OnMessage Inc.,A@@2,-0.850288321,R+1.23@@-1.23,32,R+
Data Orbital,A/B@@4,-0.830547622,D+0.08@@.08,18,D+
TIPP Insights,A@@2,-0.811928131,R+0.07@@-.07,51,R+
Cygnal,A@@2,-0.803649255,D+2.04@@2.04,58,D+
The New York Times/Siena College,A@@2,-0.795082467,D+1.41@@1.41,116,D+
Monmouth University,A@@2,-0.771857782,D+2.00@@2,131,D+
SurveyUSA,A@@2,-0.657403535,D+0.09@@.09,871,D+
CBS News/The New York Times,A@@2,-0.652180724,D+0.27@@.27,66,D+
Public Opinion Strategies,A@@2,-0.641125239,R+1.28@@-1.28,80,R+
AtlasIntel,A@@2,-0.635847473,R+0.04@@-.04,93,R+
Emerson College,A@@2,-0.609817669,D+0.61@@.61,320,D+
Siena College,A@@2,-0.603876306,D+0.12@@.12,67,D+
Muhlenberg College,A-@@3,-0.577189413,R+0.11@@-.11,36,R+
Echelon Insights,A-@@3,-0.552316718,R+0.19@@-.19,19,R+
University of North Florida,A/B@@4,-0.543171515,D+1.58@@1.58,14,D+
Beacon Research/Shaw & Co. Research,A-@@3,-0.532383582,D+1.34@@1.34,63,D+
Hart Research Associates/Public Opinion Strategies,A-@@3,-0.525293937,D+0.85@@.85,37,D+
Public Policy Institute of California,A/B@@4,-0.524482378,R+1.00@@-1,18,R+
Grove Insight,A/B@@4,-0.520332822,D+0.47@@.47,29,D+
MassINC Polling Group,A/B@@4,-0.496136603,R+0.55@@-.55,22,R+
Suffolk University,A-@@3,-0.495783227,D+0.71@@.71,112,D+
Susquehanna Polling & Research Inc.,A-@@3,-0.445994679,D+0.43@@.43,56,D+
Greenberg Quinlan Rosner,A-@@3,-0.445560075,D+2.18@@2.18,62,D+
Mason-Dixon Polling & Strategy,A-@@3,-0.439340564,R+0.50@@-.5,446,R+
Landmark Communications,A-@@3,-0.409596821,D+0.83@@.83,41,D+
Marist College,A-@@3,-0.402126108,D+0.52@@.52,213,D+
Angus Reid Global,A/B@@4,-0.394997835,R+0.98@@-.98,32,R+
National Journal,A/B@@4,-0.387442875,R+0.11@@-.11,12,R+
The Winston Group,A/B@@4,-0.382927626,D+1.03@@1.03,11,D+
Los Angeles Times,A/B@@4,-0.381156939,R+0.14@@-.14,37,R+
Stockton University,A/B@@4,-0.378612957,D+0.84@@.84,12,D+
Greenberg Quinlan Rosner/American Viewpoint,A/B@@4,-0.377745885,R+0.52@@-.52,8,R+
University of Massachusetts Lowell,A-@@3,-0.371150573,D+1.29@@1.29,38,D+
Concord Public Opinion Partners,A/B@@4,-0.351183254,R+0.02@@-.02,4,R+
Christopher Newport University,A/B@@4,-0.340174576,D+0.81@@.81,16,D+
University of Connecticut,A/B@@4,-0.340136301,R+0.13@@-.13,11,R+
